occ1990,foreign_empl,native_empl,foreign_howo,native_howo,manual_f,manual_n,language_f,language_n,year,occupation,manual,limbs,strength,body,language,oral,written,cognitive,perception,visual,hearing,vocal
225,328,4013,645080,8642406,396554.4526367187,5312805.480957031,296736.80126953125,3975506.8305358887,2000,Other science technicians,0.6147368550300598,0.6690000295639038,0.5600000023841858,0.5475000143051147,0.46000000834465027,0.2849999964237213,0.6349999904632568,0.5983333587646484,0.5479999780654907,0.7528571486473083,0.7400000095367432,0.2549999952316284
226,840,7763,1607048,16247635,1192598.739868164,12057455.148529053,948158.27880859375,9586104.225769045,2000,Airplane pilots and navigators,0.74210524559021,0.9649999737739563,0.44600000977516174,0.5550000071525574,0.5899999737739563,0.6399999856948853,0.5400000214576721,0.7766666412353516,0.9679999947547913,0.9857142567634583,0.9866666793823242,0.5799999833106995
227,320,6488,565780,12771077,226312,5108430.807765961,437065.044921875,9865656.771522522,2000,Air traffic controllers,0.4000000059604645,0.5210000276565552,0.2540000081062317,0.2800000011920929,0.7724999785423279,0.9150000214576721,0.6299999952316284,0.8266666531562805,0.9100000262260437,0.8799999952316284,0.9166666865348816,0.7649999856948853
228,2109,18608,4057138,34965576,2547455.6810302734,21954701.91202545,1663426.5678100586,14335886.048542025,2000,Broadcast equipment operators,0.6278947591781616,0.7549999952316284,0.4860000014305115,0.48750001192092896,0.4099999964237213,0.41499999165534973,0.4050000011920929,0.5799999833106995,0.7480000257492065,0.6971428394317627,0.9900000095367432,0.45500001311302185
229,9286,64207,16631540,129060195,4901327.192276001,38034135.33425331,10143333.343811035,78711928.03327179,2000,Computer software developers,0.2947007417678833,0.33687421679496765,0.23611441254615784,0.26249998807907104,0.6098853945732117,0.5227116346359253,0.6970592141151428,0.7439893484115601,0.47183069586753845,0.4347990155220032,0.3313426971435547,0.5085697770118713
233,3851,20799,8118749,44702733,6490726.305908203,35738659.4443512,2232655.984375,12293251.623451233,2000,Programmers of numerically controlled machine tools,0.7994737029075623,0.8970000147819519,0.7300000190734863,0.6424999833106995,0.2750000059604645,0.17000000178813934,0.3799999952316284,0.6658333539962769,0.7940000295639038,0.8285714387893677,0.9566666483879089,0.23000000417232513
234,6898,85007,12296365,159297703,4438118.869277954,57495214.50104618,8998005.910736084,116567918.69130611,2000,"Legal assistants, paralegals, legal support, etc",0.36092934012413025,0.38860732316970825,0.30939817428588867,0.35614830255508423,0.7317614555358887,0.600409746170044,0.8631131052970886,0.5847043395042419,0.42848071455955505,0.47152379155158997,0.4542018175125122,0.6398745775222778
243,185589,1296613,406793457,2821803960,201599325.9955759,1398433937.442729,198373414.21776295,1376056758.9435902,2000,Supervisors and proprietors of sales jobs,0.4955815374851227,0.41964760422706604,0.5988960266113281,0.5562731623649597,0.48765143752098083,0.4990743398666382,0.4762285053730011,0.661126971244812,0.4984308183193207,0.44393277168273926,0.43271851539611816,0.5804576873779297
253,7934,98852,15649669,194557557,4439564.212219238,55192909.6874752,12637107.749519348,157105227.34295654,2000,Insurance sales occupations,0.28368422389030457,0.30000001192092896,0.24199999868869781,0.29499998688697815,0.8075000047683716,0.7649999856948853,0.8500000238418579,0.7716666460037231,0.4880000054836273,0.5385714173316956,0.27666667103767395,0.7950000166893005
254,14501,124135,27165507,237662347,8700186.888782501,76115157.15689278,20679587.34313965,180919106.72346303,2000,Real estate sales occupations,0.3202659487724304,0.3022057116031647,0.3563726246356964,0.32028326392173767,0.7612442970275879,0.775916337966919,0.7465722560882568,0.577114999294281,0.4418570399284363,0.6985714435577393,0.40111279487609863,0.7104543447494507
